line_number,shakespeare_line
1319,There’s order given for her coronation.
1320,"Marry, this is yet but young, and may be left"
1321,"To some ears unrecounted. But, my lords,"
1322,"She is a gallant creature, and complete"
1323,"In mind and feature. I persuade me, from her"
1324,Will fall some blessing to this land which shall
1325,In it be memorized.
1326,But will the King
1327,Digest this letter of the Cardinal’s?
1328,There be more wasps that buzz about his nose
1329,Will make this sting the sooner. Cardinal Campeius
1330,Is stolen away to Rome; hath ta’en no leave;
1331,"Has left the cause o’ th’ King unhandled, and"
1332,"Is posted, as the agent of our Cardinal,"
1333,To second all his plot. I do assure you
1334,The King cried “Ha!” at this.
1335,"Now, God incense him,"
1336,And let him cry “Ha!” louder.
1337,"He is returned in his opinions, which"
1338,"Have satisfied the King for his divorce,"
1339,Together with all famous colleges
1340,"Almost in Christendom. Shortly, I believe,"
1341,"His second marriage shall be published, and"
1342,Her coronation. Katherine no more
1343,"Shall be called Queen, but Princess Dowager"
1344,And widow to Prince Arthur.
1345,"A worthy fellow, and hath ta’en much pain"
1346,In the King’s business.
1347,"He has, and we shall see him"
1348,For it an archbishop.
1349,Enter Wolsey and Cromwell.
1350,"Observe, observe; he’s moody."
1351,Gave’t you the King?
1352,"To his own hand, in ’s bedchamber."
1353,Looked he o’ th’ inside of the paper?
1354,"He did unseal them, and the first he viewed,"
1355,He did it with a serious mind; a heed
1356,Was in his countenance. You he bade
1357,Attend him here this morning.
1358,I think by this he is.
1359,Leave me a while.
1360,The French king’s sister; he shall marry her.
1361,Anne Bullen? No; I’ll no Anne Bullens for him.
1362,There’s more in’t than fair visage. Bullen?
1363,"No, we’ll no Bullens. Speedily I wish"
1364,To hear from Rome. The Marchioness of Pembroke!
1365,Maybe he hears the King
1366,Does whet his anger to him.
1367,"Lord, for thy justice!"
1368,To be her mistress’ mistress? The Queen’s Queen?
1369,This candle burns not clear. ’Tis I must snuff it;
1370,Then out it goes. What though I know her virtuous
1371,And well deserving? Yet I know her for
1372,"A spleeny Lutheran, and not wholesome to"
1373,"Our cause, that she should lie i’ th’ bosom of"
1374,"Our hard-ruled King. Again, there is sprung up"
1375,"An heretic, an arch-one, Cranmer, one"
1376,Hath crawled into the favour of the King
1377,And is his oracle.
1378,He is vexed at something.
1379,"Enter King, reading a schedule, and Lovell."
1380,"I would ’twere something that would fret the string,"
1381,The master-cord on ’s heart.
1382,"The King, the King!"
1383,What piles of wealth hath he accumulated
1384,To his own portion! And what expense by th’ hour
1385,"Seems to flow from him! How, i’ th’ name of thrift"
1386,"Does he rake this together? Now, my lords,"
1387,Saw you the Cardinal?
1388,"My lord, we have"
1389,Stood here observing him. Some strange commotion
1390,"Is in his brain. He bites his lip, and starts,"
1391,"Stops on a sudden, looks upon the ground,"
1392,Then lays his finger on his temple; straight
1393,"Springs out into fast gait; then stops again,"
1394,"Strikes his breast hard, and anon he casts"
1395,His eye against the moon. In most strange postures
1396,We have seen him set himself.
1397,It may well be
1398,There is a mutiny in ’s mind. This morning
1399,"Papers of state he sent me to peruse,"
1400,As I required; and wot you what I found
1401,"There—on my conscience, put unwittingly?"
1402,"Forsooth, an inventory, thus importing"
1403,"The several parcels of his plate, his treasure,"
1404,"Rich stuffs and ornaments of household, which"
1405,I find at such proud rate that it outspeaks
1406,Possession of a subject.
1407,Some spirit put this paper in the packet
1408,To bless your eye withal.
1409,If we did think
1410,His contemplation were above the earth
1411,"And fixed on spiritual object, he should still"
1412,"Dwell in his musings, but I am afraid"
1413,"His thinkings are below the moon, not worth"
1414,Ever God bless your Highness.
1415,"You are full of heavenly stuff, and bear the inventory"
1416,"Of your best graces in your mind, the which"
1417,You were now running o’er. You have scarce time
1418,To steal from spiritual leisure a brief span
1419,"To keep your earthly audit. Sure, in that"
1420,"I deem you an ill husband, and am glad"
1421,To have you therein my companion.
1422,For holy offices I have a time; a time
1423,To think upon the part of business which
1424,I bear i’ th’ state; and Nature does require
1425,"Her times of preservation, which perforce"
1426,"I, her frail son, amongst my brethren mortal,"
1427,Must give my tendance to.
1428,You have said well.
1429,"And ever may your Highness yoke together,"
1430,"As I will lend you cause, my doing well"
1431,With my well saying.
1432,"’Tis well said again,"
1433,And ’tis a kind of good deed to say well.
1434,And yet words are no deeds. My father loved you;
1435,"He said he did, and with his deed did crown"
1436,"His word upon you. Since I had my office,"
1437,"I have kept you next my heart, have not alone"
1438,"Employed you where high profits might come home,"
1439,But pared my present havings to bestow
1440,My bounties upon you.
1441,Have I not made you
1442,"The prime man of the state? I pray you tell me,"
1443,"If what I now pronounce you have found true,"
1444,"And, if you may confess it, say withal"
1445,If you are bound to us or no. What say you?
1446,"My sovereign, I confess your royal graces,"
1447,"Showered on me daily, have been more than could"
1448,"My studied purposes requite, which went"
1449,Beyond all man’s endeavours. My endeavours
1450,"Have ever come too short of my desires,"
1451,Yet filed with my abilities. Mine own ends
1452,Have been mine so that evermore they pointed
1453,To th’ good of your most sacred person and
1454,The profit of the state. For your great graces
1455,"Heaped upon me, poor undeserver, I"
1456,"Can nothing render but allegiant thanks,"
1457,"My prayers to heaven for you, my loyalty,"
1458,"Which ever has and ever shall be growing,"
1459,"Till death, that winter, kill it."
1460,A loyal and obedient subject is
1461,Therein illustrated. The honour of it
1462,"Does pay the act of it, as i’ th’ contrary,"
1463,The foulness is the punishment. I presume
1464,"That, as my hand has opened bounty to you,"
1465,"My heart dropped love, my power rained honour, more"
1466,"On you than any, so your hand and heart,"
1467,"Your brain, and every function of your power,"
1468,"Should, notwithstanding that your bond of duty,"
1469,"As ’twere in love’s particular, be more"
1470,"To me, your friend, than any."
1471,That for your Highness’ good I ever laboured
1472,"More than mine own, that am, have, and will be."
1473,Though all the world should crack their duty to you
1474,"And throw it from their soul, though perils did"
1475,"Abound as thick as thought could make ’em, and"
1476,"Appear in forms more horrid—yet my duty,"
1477,"As doth a rock against the chiding flood,"
1478,"Should the approach of this wild river break,"
1479,And stand unshaken yours.
1480,"Take notice, lords: he has a loyal breast,"
1481,For you have seen him open’t.
1482,"And after, this; and then to breakfast with"
1483,What appetite you have.
1484,"[_Exit King, frowning upon the Cardinal; the nobles throng after him,"
1485,What should this mean?
1486,What sudden anger’s this? How have I reaped it?
1487,"He parted frowning from me, as if ruin"
1488,Leaped from his eyes. So looks the chafed lion
1489,"Upon the daring huntsman that has galled him,"
1490,Then makes him nothing. I must read this paper—
1491,"I fear, the story of his anger. ’Tis so."
1492,This paper has undone me. ’Tis th’ account
1493,Of all that world of wealth I have drawn together
1494,"For mine own ends—indeed, to gain the popedom"
1495,"And fee my friends in Rome. O negligence,"
1496,Fit for a fool to fall by! What cross devil
1497,Made me put this main secret in the packet
1498,I sent the King? Is there no way to cure this?
1499,No new device to beat this from his brains?
1500,I know ’twill stir him strongly; yet I know
1501,"A way, if it take right, in spite of fortune,"
1502,Will bring me off again. What’s this? “To th’ Pope”?
1503,"The letter, as I live, with all the business"
1504,"I writ to ’s Holiness. Nay then, farewell!"
1505,"I have touched the highest point of all my greatness,"
1506,And from that full meridian of my glory
1507,I haste now to my setting. I shall fall
1508,"Like a bright exhalation in the evening,"
1509,And no man see me more.
1510,"Enter to Wolsey, the Dukes of Norfolk and Suffolk, the Earl of Surrey,"
1511,and the Lord Chamberlain.
1512,"Hear the King’s pleasure, Cardinal, who commands you"
1513,To render up the great seal presently
1514,"Into our hands, and to confine yourself"
1515,"To Asher House, my Lord of Winchester’s,"
1516,Till you hear further from his Highness.
1517,"Where’s your commission, lords? Words cannot carry"
1518,"Who dares cross ’em,"
1519,Bearing the King’s will from his mouth expressly?
1520,Till I find more than will or words to do it—
1521,"I mean your malice—know, officious lords,"
1522,I dare and must deny it. Now I feel
1523,"Of what coarse metal ye are moulded, envy!"
1524,"How eagerly ye follow my disgraces,"
1525,"As if it fed ye, and how sleek and wanton"
1526,Ye appear in everything may bring my ruin!
1527,"Follow your envious courses, men of malice;"
1528,"You have Christian warrant for ’em, and no doubt"
1529,In time will find their fit rewards. That seal
1530,"You ask with such a violence, the King,"
1531,"Mine and your master, with his own hand gave me;"
1532,"Bade me enjoy it, with the place and honours,"
1533,"During my life; and, to confirm his goodness,"
1534,"Tied it by letters-patents. Now, who’ll take it?"
1535,The King that gave it.
1536,"It must be himself, then."
1537,"Thou art a proud traitor, priest."
1538,"Proud lord, thou liest."
1539,Within these forty hours Surrey durst better
1540,Have burnt that tongue than said so.
1541,"Thou scarlet sin, robbed this bewailing land"
1542,"Of noble Buckingham, my father-in-law."
1543,"The heads of all thy brother cardinals,"
1544,"With thee and all thy best parts bound together,"
1545,Weighed not a hair of his. Plague of your policy!
1546,"You sent me Deputy for Ireland,"
1547,"Far from his succour, from the King, from all"
1548,"That might have mercy on the fault thou gav’st him,"
1549,"Whilst your great goodness, out of holy pity,"
1550,Absolved him with an axe.
1551,"This, and all else"
1552,"This talking lord can lay upon my credit,"
1553,I answer is most false. The Duke by law
1554,Found his deserts. How innocent I was
1555,"From any private malice in his end,"
1556,His noble jury and foul cause can witness.
1557,"If I loved many words, lord, I should tell you"
1558,"You have as little honesty as honour,"
1559,That in the way of loyalty and truth
1560,"Toward the King, my ever royal master,"
1561,"Dare mate a sounder man than Surrey can be,"
1562,And all that love his follies.
1563,"Your long coat, priest, protects you; thou shouldst feel"
1564,"My sword i’ th’ lifeblood of thee else. My lords,"
1565,Can ye endure to hear this arrogance?
1566,"And from this fellow? If we live thus tamely,"
1567,"To be thus jaded by a piece of scarlet,"
1568,"Farewell, nobility. Let his Grace go forward"
1569,"And dare us with his cap, like larks."
1570,Is poison to thy stomach.
1571,"Of gleaning all the land’s wealth into one,"
1572,"Into your own hands, Cardinal, by extortion;"
1573,The goodness of your intercepted packets
1574,"You writ to the Pope against the King. Your goodness,"
1575,"Since you provoke me, shall be most notorious."
1576,"My Lord of Norfolk, as you are truly noble,"
1577,"As you respect the common good, the state"
1578,"Of our despised nobility, our issues,"
1579,"Who, if he live, will scarce be gentlemen,"
1580,"Produce the grand sum of his sins, the articles"
1581,Collected from his life. I’ll startle you
1582,Worse than the sacring bell when the brown wench
1583,"Lay kissing in your arms, Lord Cardinal."
1584,"How much, methinks, I could despise this man,"
1585,But that I am bound in charity against it!
1586,"Those articles, my lord, are in the King’s hand;"
1587,"But thus much, they are foul ones."
1588,And spotless shall mine innocence arise
1589,When the King knows my truth.
1590,This cannot save you.
1591,I thank my memory I yet remember
1592,"Some of these articles, and out they shall."
1593,"Now, if you can blush and cry “Guilty,” Cardinal,"
1594,You’ll show a little honesty.
1595,"I dare your worst objections. If I blush,"
1596,It is to see a nobleman want manners.
1597,I had rather want those than my head. Have at you!
1598,"First, that without the King’s assent or knowledge,"
1599,"You wrought to be a legate, by which power"
1600,You maimed the jurisdiction of all bishops.
1601,"Then, that in all you writ to Rome, or else"
1602,"To foreign princes, “_ego et rex meus_”"
1603,"Was still inscribed, in which you brought the King"
1604,To be your servant.
1605,"Then, that without the knowledge"
1606,"Either of King or Council, when you went"
1607,"Ambassador to the Emperor, you made bold"
1608,To carry into Flanders the great seal.
1609,"Item, you sent a large commission"
1610,"To Gregory de Cassado, to conclude,"
1611,"Without the King’s will or the state’s allowance,"
1612,A league between his Highness and Ferrara.
1613,That out of mere ambition you have caused
1614,Your holy hat to be stamped on the King’s coin.
1615,"Then, that you have sent innumerable substance—"
1616,"By what means got, I leave to your own conscience—"
1617,To furnish Rome and to prepare the ways
1618,"You have for dignities, to the mere undoing"
1619,"Of all the kingdom. Many more there are,"
1620,"Which, since they are of you, and odious,"
1621,I will not taint my mouth with.
1622,Press not a falling man too far! ’Tis virtue.
1623,"His faults lie open to the laws; let them,"
1624,"Not you, correct him. My heart weeps to see him"
1625,So little of his great self.
1626,"Lord Cardinal, the King’s further pleasure is,"
1627,Because all those things you have done of late
1628,By your power legative within this kingdom
1629,"Fall into th’ compass of a _praemunire_,"
1630,That therefore such a writ be sued against you
1631,"To forfeit all your goods, lands, tenements,"
1632,"Chattels, and whatsoever, and to be"
1633,Out of the King’s protection. This is my charge.
1634,And so we’ll leave you to your meditations
1635,How to live better. For your stubborn answer
1636,"About the giving back the great seal to us,"
1637,"The King shall know it and, no doubt, shall thank you."
1638,"So fare you well, my little good Lord Cardinal."
1639,So farewell to the little good you bear me.
1640,Farewell? A long farewell to all my greatness!
1641,This is the state of man: today he puts forth
1642,"The tender leaves of hopes; tomorrow blossoms,"
1643,And bears his blushing honours thick upon him;
1644,"The third day comes a frost, a killing frost,"
1645,"And when he thinks, good easy man, full surely"
1646,"His greatness is a-ripening, nips his root,"
1647,"And then he falls, as I do. I have ventured,"
1648,"Like little wanton boys that swim on bladders,"
1649,"This many summers in a sea of glory,"
1650,But far beyond my depth. My high-blown pride
1651,"At length broke under me and now has left me,"
1652,"Weary and old with service, to the mercy"
1653,Of a rude stream that must for ever hide me.
1654,"Vain pomp and glory of this world, I hate ye!"
1655,"I feel my heart new opened. O, how wretched"
1656,Is that poor man that hangs on princes’ favours!
1657,"There is betwixt that smile we would aspire to,"
1658,"That sweet aspect of princes, and their ruin,"
1659,More pangs and fears than wars or women have;
1660,"And when he falls, he falls like Lucifer,"
1661,Never to hope again.
1662,"Enter Cromwell, standing amazed."
1663,"Why, how now, Cromwell?"
1664,"I have no power to speak, sir."
1665,At my misfortunes? Can thy spirit wonder
1666,"A great man should decline? Nay, an you weep,"
1667,I am fallen indeed.
1668,How does your Grace?
1669,"Never so truly happy, my good Cromwell."
1670,"I know myself now, and I feel within me"
1671,"A peace above all earthly dignities,"
1672,"A still and quiet conscience. The King has cured me,"
1673,"I humbly thank his Grace, and from these shoulders,"
1674,"These ruined pillars, out of pity, taken"
1675,A load would sink a navy: too much honour.
1676,"O, ’tis a burden, Cromwell, ’tis a burden"
1677,Too heavy for a man that hopes for heaven.
1678,I am glad your Grace has made that right use of it.
1679,"I hope I have. I am able now, methinks,"
1680,"Out of a fortitude of soul I feel,"
1681,To endure more miseries and greater far
1682,Than my weak-hearted enemies dare offer.
1683,The heaviest and the worst
1684,Is your displeasure with the King.
1685,The next is that Sir Thomas More is chosen
1686,Lord Chancellor in your place.
1687,But he’s a learned man. May he continue
1688,"Long in his Highness’ favour, and do justice"
1689,"For truth’s sake and his conscience, that his bones,"
1690,"When he has run his course and sleeps in blessings,"
1691,May have a tomb of orphans’ tears wept on him.
1692,"That Cranmer is returned with welcome,"
1693,Installed Lord Archbishop of Canterbury.
1694,"Last, that the Lady Anne,"
1695,"Whom the King hath in secrecy long married,"
1696,"This day was viewed in open as his Queen,"
1697,"Going to chapel, and the voice is now"
1698,Only about her coronation.
1699,There was the weight that pulled me down.
1700,The King has gone beyond me. All my glories
1701,In that one woman I have lost for ever.
1702,"No sun shall ever usher forth mine honours,"
1703,Or gild again the noble troops that waited
1704,"Upon my smiles. Go, get thee from me, Cromwell."
1705,"I am a poor fallen man, unworthy now"
1706,To be thy lord and master. Seek the King;
1707,"That sun, I pray, may never set! I have told him"
1708,What and how true thou art. He will advance thee;
1709,Some little memory of me will stir him—
1710,I know his noble nature—not to let
1711,"Thy hopeful service perish too. Good Cromwell,"
1712,"Neglect him not; make use now, and provide"
1713,For thine own future safety.
1714,Must I then leave you? Must I needs forgo
1715,"So good, so noble, and so true a master?"
1716,"Bear witness, all that have not hearts of iron,"
1717,With what a sorrow Cromwell leaves his lord.
1718,"The King shall have my service, but my prayers"
1719,For ever and for ever shall be yours.
1720,"Cromwell, I did not think to shed a tear"
1721,"In all my miseries, but thou hast forced me,"
1722,"Out of thy honest truth, to play the woman."
1723,"Let’s dry our eyes, and thus far hear me, Cromwell,"
1724,"And when I am forgotten, as I shall be,"
1725,"And sleep in dull cold marble, where no mention"
1726,"Of me more must be heard of, say, I taught thee;"
1727,"Say Wolsey, that once trod the ways of glory"
1728,"And sounded all the depths and shoals of honour,"
1729,"Found thee a way, out of his wreck, to rise in,"
1730,"A sure and safe one, though thy master missed it."
1731,Mark but my fall and that that ruined me.
1732,"Cromwell, I charge thee, fling away ambition!"
1733,"By that sin fell the angels; how can man, then,"
1734,"The image of his maker, hope to win by it?"
1735,Love thyself last; cherish those hearts that hate thee.
1736,Corruption wins not more than honesty.
1737,Still in thy right hand carry gentle peace
1738,"To silence envious tongues. Be just, and fear not."
1739,"Let all the ends thou aim’st at be thy country’s,"
1740,"Thy God’s, and truth’s. Then if thou fall’st, O Cromwell,"
1741,Thou fall’st a blessed martyr!
1742,"Serve the King. And, prithee, lead me in."
1743,There take an inventory of all I have.
1744,To the last penny; ’tis the King’s. My robe
1745,And my integrity to heaven is all
1746,"I dare now call mine own. O Cromwell, Cromwell,"
1747,Had I but served my God with half the zeal
1748,"I served my king, He would not in mine age"
1749,Have left me naked to mine enemies.
1750,"Good sir, have patience."
1751,"So I have. Farewell,"
1752,The hopes of court! My hopes in heaven do dwell.
1753,SCENE I. A street in Westminster.
1754,"Enter two Gentlemen, meeting one another."
1755,You’re well met once again.
1756,You come to take your stand here and behold
1757,The Lady Anne pass from her coronation?
1758,"’Tis all my business. At our last encounter,"
1759,The Duke of Buckingham came from his trial.
1760,"’Tis very true. But that time offered sorrow,"
1761,"’Tis well. The citizens,"
1762,"I am sure, have shown at full their royal minds,"
1763,"As, let ’em have their rights, they are ever forward"
1764,"In celebration of this day with shows,"
1765,"Pageants, and sights of honour."
1766,"Nor, I’ll assure you, better taken, sir."
1767,"May I be bold to ask what that contains,"
1768,That paper in your hand?
1769,"Yes, ’tis the list"
1770,Of those that claim their offices this day
1771,By custom of the coronation.
1772,"The Duke of Suffolk is the first, and claims"
1773,"To be High Steward; next, the Duke of Norfolk,"
1774,He to be Earl Marshal. You may read the rest.
1775,"I thank you, sir. Had I not known those customs,"
1776,I should have been beholding to your paper.
1777,"But I beseech you, what’s become of Katherine,"
1778,The Princess Dowager? How goes her business?
1779,That I can tell you too. The Archbishop
1780,"Of Canterbury, accompanied with other"
1781,"Learned and reverend fathers of his order,"
1782,"Held a late court at Dunstable, six miles off"
1783,From Ampthill where the Princess lay; to which
1784,"She was often cited by them, but appeared not;"
1785,"And, to be short, for not appearance and"
1786,"The King’s late scruple, by the main assent"
1787,"Of all these learned men she was divorced,"
1788,And the late marriage made of none effect;
1789,"Since which she was removed to Kimbolton,"
1790,Where she remains now sick.
1791,The trumpets sound. Stand close. The Queen is coming.
1792,_The order of the coronation_.
1793,_. A lively flourish of trumpets.
1794,". Then, two Judges."
1795,". Lord Chancellor, with purse and mace before him."
1796,". Choristers, singing. Music."
1797,". Mayor of London, bearing the mace. Then Garter, in his coat of arms,"
1798,and on his head he wore a gilt copper crown.
1799,". Marquess Dorset, bearing a sceptre of gold, on his head a"
1800,"demi-coronal of gold. With him, the Earl of Surrey, bearing the rod of"
1801,"silver with the dove, crowned with an earl’s coronet. Collars of S’s."
1802,". Duke of Suffolk, in his robe of estate, his coronet on his head,"
1803,"bearing a long white wand, as High Steward. With him, the Duke of"
1804,"Norfolk, with the rod of marshalship, a coronet on his head. Collars of"
1805,". A canopy, borne by four of the Cinque Ports; under it, the Queen in"
1806,"her robe, in her hair, richly adorned with pearl, crowned. On each side"
1807,"her, the Bishops of London and Winchester."
1808,". The old Duchess of Norfolk, in a coronal of gold wrought with"
1809,"flowers, bearing the Queen’s train."
1810,". Certain Ladies or Countesses, with plain circlets of gold without"
1811,"[_Exeunt, first passing over the stage in order and state, and then a"
1812,great flourish of trumpets._]
1813,"A royal train, believe me. These I know."
1814,Who’s that that bears the sceptre?
1815,And that the Earl of Surrey with the rod.
1816,A bold brave gentleman. That should be
1817,The Duke of Suffolk.
1818,’Tis the same: High Steward.
1819,And that my Lord of Norfolk?
1820,Thou hast the sweetest face I ever looked on.
1821,"Sir, as I have a soul, she is an angel."
1822,"Our King has all the Indies in his arms,"
1823,"And more, and richer, when he strains that lady."
1824,I cannot blame his conscience.
1825,The cloth of honour over her are four barons
1826,Of the Cinque Ports.
1827,"Those men are happy, and so are all are near her."
1828,I take it she that carries up the train
1829,"Is that old noble lady, Duchess of Norfolk."
1830,"It is, and all the rest are countesses."
1831,Their coronets say so. These are stars indeed.
1832,And sometimes falling ones.
1833,No more of that.
1834,Enter a third Gentleman.
1835,"God save you, sir. Where have you been broiling?"
1836,"Among the crowds i’ th’ Abbey, where a finger"
1837,Could not be wedged in more. I am stifled
1838,With the mere rankness of their joy.
1839,Well worth the seeing.
1840,"Good sir, speak it to us."
1841,As well as I am able. The rich stream
1842,"Of lords and ladies, having brought the Queen"
1843,"To a prepared place in the choir, fell off"
1844,"A distance from her, while her Grace sat down"
1845,"To rest a while, some half an hour or so,"
1846,"In a rich chair of state, opposing freely"
1847,The beauty of her person to the people.
1848,"Believe me, sir, she is the goodliest woman"
1849,"That ever lay by man, which when the people"
1850,"Had the full view of, such a noise arose"
1851,"As the shrouds make at sea in a stiff tempest,"
1852,"As loud and to as many tunes. Hats, cloaks,"
1853,"Doublets, I think, flew up, and had their faces"
1854,"Been loose, this day they had been lost. Such joy"
1855,I never saw before. Great-bellied women
1856,"That had not half a week to go, like rams"
1857,"In the old time of war, would shake the press"
1858,And make ’em reel before ’em. No man living
1859,"Could say “This is my wife” there, all were woven"
1860,So strangely in one piece.
1861,"At length her Grace rose, and with modest paces"
1862,"Came to the altar, where she kneeled and saintlike"
1863,Cast her fair eyes to heaven and prayed devoutly;
1864,"Then rose again and bowed her to the people,"
1865,When by the Archbishop of Canterbury
1866,"She had all the royal makings of a queen,"
1867,"As holy oil, Edward Confessor’s crown,"
1868,"The rod, and bird of peace, and all such emblems"
1869,"Laid nobly on her; which performed, the choir,"
1870,"With all the choicest music of the kingdom,"
1871,"Together sung _Te Deum_. So she parted,"
1872,And with the same full state paced back again
1873,"To York Place, where the feast is held."
1874,"You must no more call it “York Place”, that’s past;"
1875,"For since the Cardinal fell, that title’s lost."
1876,"’Tis now the King’s, and called “Whitehall”."
1877,But ’tis so lately altered that the old name
1878,Is fresh about me.
1879,What two reverend bishops
1880,Were those that went on each side of the Queen?
1881,"Stokesley and Gardiner, the one of Winchester,"
1882,Newly preferred from the King’s secretary;
1883,"Is held no great good lover of the Archbishop’s,"
1884,All the land knows that.
1885,"However, yet there is no great breach. When it comes,"
1886,Cranmer will find a friend will not shrink from him.
1887,"Who may that be, I pray you?"
1888,"A man in much esteem with th’ King, and truly"
1889,A worthy friend. The King has made him
1890,"Master o’ th’ Jewel House,"
1891,And one already of the Privy Council.
1892,He will deserve more.
1893,"Yes, without all doubt."
1894,"Come, gentlemen, ye shall go my way,"
1895,"Which is to th’ court, and there ye shall be my guests,"
1896,"Something I can command. As I walk thither,"
1897,I’ll tell ye more.
1898,"You may command us, sir."
1899,"Enter Katherine Dowager, sick, led between Griffith, her gentleman"
1900,"usher, and Patience, her woman."
1901,How does your Grace?
1902,"O Griffith, sick to death."
1903,"My legs like loaden branches bow to th’ earth,"
1904,Willing to leave their burden. Reach a chair.
1905,"So. Now, methinks, I feel a little ease."
1906,"Didst thou not tell me, Griffith, as thou ledst me,"
1907,"That the great child of honour, Cardinal Wolsey,"
1908,"Yes, madam, but I think your Grace,"
1909,"Out of the pain you suffered, gave no ear to’t."
1910,"Prithee, good Griffith, tell me how he died."
1911,"If well, he stepped before me happily"
1912,"Well, the voice goes, madam."
1913,For after the stout Earl Northumberland
1914,"Arrested him at York and brought him forward,"
1915,"As a man sorely tainted, to his answer,"
1916,He fell sick suddenly and grew so ill
1917,He could not sit his mule.
1918,"At last, with easy roads, he came to Leicester,"
1919,"Lodged in the abbey, where the reverend abbot,"
1920,"With all his covent, honourably received him;"
1921,"To whom he gave these words: “O father abbot,"
1922,"An old man, broken with the storms of state,"
1923,Is come to lay his weary bones among ye.
1924,Give him a little earth for charity.”
1925,"So went to bed, where eagerly his sickness"
1926,"Pursued him still; and three nights after this,"
1927,"About the hour of eight, which he himself"
1928,"Foretold should be his last, full of repentance,"
1929,"Continual meditations, tears, and sorrows,"
1930,"He gave his honours to the world again,"
1931,"His blessed part to heaven, and slept in peace."
1932,So may he rest. His faults lie gently on him!
1933,"Yet thus far, Griffith, give me leave to speak him,"
1934,And yet with charity. He was a man
1935,"Of an unbounded stomach, ever ranking"
1936,Himself with princes; one that by suggestion
1937,Tied all the kingdom. Simony was fair-play.
1938,His own opinion was his law. I’ th’ presence
1939,"He would say untruths, and be ever double"
1940,"Both in his words and meaning. He was never,"
1941,"But where he meant to ruin, pitiful."
1942,"His promises were, as he then was, mighty;"
1943,"But his performance, as he is now, nothing."
1944,"Of his own body he was ill, and gave"
1945,The clergy ill example.
1946,Men’s evil manners live in brass; their virtues
1947,We write in water. May it please your Highness
1948,To hear me speak his good now?
1949,I were malicious else.
1950,"Though from an humble stock, undoubtedly"
1951,Was fashioned to much honour. From his cradle
1952,"He was a scholar, and a ripe and good one,"
1953,"Exceeding wise, fair-spoken, and persuading;"
1954,"Lofty and sour to them that loved him not,"
1955,"But to those men that sought him, sweet as summer."
1956,"And though he were unsatisfied in getting,"
1957,"Which was a sin, yet in bestowing, madam,"
1958,He was most princely. Ever witness for him
1959,"Those twins of learning that he raised in you,"
1960,"Ipswich and Oxford, one of which fell with him,"
1961,Unwilling to outlive the good that did it;
1962,"The other, though unfinished, yet so famous,"
1963,"So excellent in art, and still so rising,"
1964,That Christendom shall ever speak his virtue.
1965,"His overthrow heaped happiness upon him,"
1966,"For then, and not till then, he felt himself,"
1967,And found the blessedness of being little.
1968,"And, to add greater honours to his age"
1969,"Than man could give him, he died fearing God."
1970,"After my death I wish no other herald,"
1971,"No other speaker of my living actions,"
1972,To keep mine honour from corruption
1973,But such an honest chronicler as Griffith.
1974,"Whom I most hated living, thou hast made me,"
1975,"With thy religious truth and modesty,"
1976,Now in his ashes honour. Peace be with him!
1977,"Patience, be near me still, and set me lower:"
1978,"I have not long to trouble thee. Good Griffith,"
1979,Cause the musicians play me that sad note
1980,"I named my knell, whilst I sit meditating"
1981,On that celestial harmony I go to.
1982,"She is asleep. Good wench, let’s sit down quiet,"
1983,"For fear we wake her. Softly, gentle Patience."
1984,"Enter, solemnly tripping one after another, six Personages, clad in"
1985,"white robes, wearing on their heads garlands of bays, and golden"
1986,"vizards on their faces, branches of bays or palm in their hands. They"
1987,"first congee unto her, then dance; and, at certain changes, the first"
1988,"two hold a spare garland over her head, at which the other four make"
1989,reverent curtsies. Then the two that held the garland deliver the same
1990,"to the other next two, who observe the same order in their changes and"
1991,"holding the garland over her head; which done, they deliver the same"
1992,"garland to the last two, who likewise observe the same order. At which,"
1993,"as it were by inspiration, she makes in her sleep signs of rejoicing"
1994,"and holdeth up her hands to heaven. And so in their dancing, vanish,"
1995,carrying the garland with them. The music continues.
1996,"Spirits of peace, where are ye? Are ye all gone,"
1997,And leave me here in wretchedness behind ye?
1998,"Madam, we are here."
1999,It is not you I call for.
2000,Saw ye none enter since I slept?
2001,"No? Saw you not, even now, a blessed troop"
2002,"Invite me to a banquet, whose bright faces"
2003,"Cast thousand beams upon me, like the sun?"
2004,They promised me eternal happiness
2005,"And brought me garlands, Griffith, which I feel"
2006,"I am not worthy yet to wear. I shall, assuredly."
2007,"I am most joyful, madam, such good dreams"
2008,"Bid the music leave,"
2009,They are harsh and heavy to me.
2010,How much her Grace is altered on the sudden?
2011,"How long her face is drawn? How pale she looks,"
2012,And of an earthly cold? Mark her eyes.
2013,"She is going, wench. Pray, pray."
2014,An’t like your Grace—
2015,You are a saucy fellow.
2016,Deserve we no more reverence?
2017,"You are to blame,"
2018,"Knowing she will not lose her wonted greatness,"
2019,"To use so rude behaviour. Go to, kneel."
2020,I humbly do entreat your Highness’ pardon.
2021,My haste made me unmannerly. There is staying
2022,A gentleman sent from the King to see you.
2023,"Admit him entrance, Griffith. But this fellow"
2024,Let me ne’er see again.
2025,"If my sight fail not,"
2026,"You should be lord ambassador from the Emperor,"
2027,"My royal nephew, and your name Caputius."
2028,"Madam, the same. Your servant."
