line_number,sonnet_line
714,"Towards thee I’ll run, and give him leave to go.’"
715,"So am I as the rich, whose blessed key,"
716,"Can bring him to his sweet up-locked treasure,"
717,"The which he will not every hour survey,"
718,For blunting the fine point of seldom pleasure.
719,"Therefore are feasts so solemn and so rare,"
720,"Since, seldom coming in that long year set,"
721,"Like stones of worth they thinly placed are,"
722,Or captain jewels in the carcanet.
723,"So is the time that keeps you as my chest,"
724,"Or as the wardrobe which the robe doth hide,"
725,"To make some special instant special-blest,"
726,By new unfolding his imprison’d pride.
727,"Blessed are you whose worthiness gives scope,"
728,"Being had, to triumph; being lacked, to hope."
729,"What is your substance, whereof are you made,"
730,That millions of strange shadows on you tend?
731,"Since every one, hath every one, one shade,"
732,"And you but one, can every shadow lend."
733,"Describe Adonis, and the counterfeit"
734,Is poorly imitated after you;
735,"On Helen’s cheek all art of beauty set,"
736,And you in Grecian tires are painted new:
737,"Speak of the spring, and foison of the year,"
738,"The one doth shadow of your beauty show,"
739,The other as your bounty doth appear;
740,And you in every blessed shape we know.
741,"In all external grace you have some part,"
742,"But you like none, none you, for constant heart."
743,O! how much more doth beauty beauteous seem
744,By that sweet ornament which truth doth give.
745,"The rose looks fair, but fairer we it deem"
746,"For that sweet odour, which doth in it live."
747,The canker blooms have full as deep a dye
748,As the perfumed tincture of the roses.
749,"Hang on such thorns, and play as wantonly"
750,When summer’s breath their masked buds discloses:
751,"But, for their virtue only is their show,"
752,"They live unwoo’d, and unrespected fade;"
753,Die to themselves. Sweet roses do not so;
754,"Of their sweet deaths, are sweetest odours made:"
755,"And so of you, beauteous and lovely youth,"
756,"When that shall vade, by verse distills your truth."
757,"Not marble, nor the gilded monuments"
758,"Of princes, shall outlive this powerful rhyme;"
759,But you shall shine more bright in these contents
760,"Than unswept stone, besmear’d with sluttish time."
761,"When wasteful war shall statues overturn,"
762,"And broils root out the work of masonry,"
763,"Nor Mars his sword, nor war’s quick fire shall burn"
764,The living record of your memory.
765,"’Gainst death, and all-oblivious enmity"
766,Shall you pace forth; your praise shall still find room
767,Even in the eyes of all posterity
768,That wear this world out to the ending doom.
769,"So, till the judgement that yourself arise,"
770,"You live in this, and dwell in lovers’ eyes."
771,"Sweet love, renew thy force; be it not said"
772,"Thy edge should blunter be than appetite,"
773,"Which but to-day by feeding is allay’d,"
774,To-morrow sharpened in his former might:
775,"So, love, be thou, although to-day thou fill"
776,"Thy hungry eyes, even till they wink with fulness,"
777,"To-morrow see again, and do not kill"
778,"The spirit of love, with a perpetual dulness."
779,Let this sad interim like the ocean be
780,"Which parts the shore, where two contracted new"
781,"Come daily to the banks, that when they see"
782,"Return of love, more blest may be the view;"
783,"Or call it winter, which being full of care,"
784,"Makes summer’s welcome, thrice more wished, more rare."
785,"Being your slave what should I do but tend,"
786,"Upon the hours, and times of your desire?"
787,I have no precious time at all to spend;
788,"Nor services to do, till you require."
789,"Nor dare I chide the world-without-end hour,"
790,"Whilst I, my sovereign, watch the clock for you,"
791,"Nor think the bitterness of absence sour,"
792,When you have bid your servant once adieu;
793,Nor dare I question with my jealous thought
794,"Where you may be, or your affairs suppose,"
795,"But, like a sad slave, stay and think of nought"
796,"Save, where you are, how happy you make those."
797,"So true a fool is love, that in your will,"
798,"Though you do anything, he thinks no ill."
799,"That god forbid, that made me first your slave,"
800,"I should in thought control your times of pleasure,"
801,"Or at your hand the account of hours to crave,"
802,"Being your vassal, bound to stay your leisure!"
803,"O! let me suffer, being at your beck,"
804,The imprison’d absence of your liberty;
805,"And patience, tame to sufferance, bide each check,"
806,Without accusing you of injury.
807,"Be where you list, your charter is so strong"
808,That you yourself may privilage your time
809,To what you will; to you it doth belong
810,Yourself to pardon of self-doing crime.
811,"I am to wait, though waiting so be hell,"
812,Not blame your pleasure be it ill or well.
813,"If there be nothing new, but that which is"
814,"Hath been before, how are our brains beguil’d,"
815,Which labouring for invention bear amiss
816,The second burthen of a former child!
817,"O! that record could with a backward look,"
818,"Even of five hundred courses of the sun,"
819,"Show me your image in some antique book,"
820,Since mind at first in character was done!
821,That I might see what the old world could say
822,To this composed wonder of your frame;
823,"Wh’r we are mended, or wh’r better they,"
824,Or whether revolution be the same.
825,"O! sure I am the wits of former days,"
826,To subjects worse have given admiring praise.
827,"Like as the waves make towards the pebbled shore,"
828,So do our minutes hasten to their end;
829,"Each changing place with that which goes before,"
830,In sequent toil all forwards do contend.
831,"Nativity, once in the main of light,"
832,"Crawls to maturity, wherewith being crown’d,"
833,"Crooked eclipses ’gainst his glory fight,"
834,And Time that gave doth now his gift confound.
835,Time doth transfix the flourish set on youth
836,"And delves the parallels in beauty’s brow,"
837,"Feeds on the rarities of nature’s truth,"
838,And nothing stands but for his scythe to mow:
839,"And yet to times in hope, my verse shall stand."
840,"Praising thy worth, despite his cruel hand."
841,"Is it thy will, thy image should keep open"
842,My heavy eyelids to the weary night?
843,"Dost thou desire my slumbers should be broken,"
844,While shadows like to thee do mock my sight?
845,Is it thy spirit that thou send’st from thee
846,"So far from home into my deeds to pry,"
847,"To find out shames and idle hours in me,"
848,The scope and tenure of thy jealousy?
849,"O, no! thy love, though much, is not so great:"
850,It is my love that keeps mine eye awake:
851,"Mine own true love that doth my rest defeat,"
852,To play the watchman ever for thy sake:
853,"For thee watch I, whilst thou dost wake elsewhere,"
854,"From me far off, with others all too near."
855,Sin of self-love possesseth all mine eye
856,"And all my soul, and all my every part;"
857,"And for this sin there is no remedy,"
858,It is so grounded inward in my heart.
859,"Methinks no face so gracious is as mine,"
860,"No shape so true, no truth of such account;"
861,"And for myself mine own worth do define,"
862,As I all other in all worths surmount.
863,But when my glass shows me myself indeed
864,"Beated and chopp’d with tanned antiquity,"
865,Mine own self-love quite contrary I read;
866,Self so self-loving were iniquity.
867,"’Tis thee, myself, that for myself I praise,"
868,Painting my age with beauty of thy days.
869,"Against my love shall be as I am now,"
870,With Time’s injurious hand crush’d and o’erworn;
871,When hours have drain’d his blood and fill’d his brow
872,With lines and wrinkles; when his youthful morn
873,Hath travell’d on to age’s steepy night;
874,And all those beauties whereof now he’s king
875,"Are vanishing, or vanished out of sight,"
876,Stealing away the treasure of his spring;
877,For such a time do I now fortify
878,"Against confounding age’s cruel knife,"
879,That he shall never cut from memory
880,"My sweet love’s beauty, though my lover’s life:"
881,"His beauty shall in these black lines be seen,"
882,"And they shall live, and he in them still green."
883,When I have seen by Time’s fell hand defac’d
884,The rich-proud cost of outworn buried age;
885,"When sometime lofty towers I see down-raz’d,"
886,And brass eternal slave to mortal rage;
887,When I have seen the hungry ocean gain
888,"Advantage on the kingdom of the shore,"
889,"And the firm soil win of the watery main,"
890,"Increasing store with loss, and loss with store;"
891,"When I have seen such interchange of state,"
892,"Or state itself confounded, to decay;"
893,Ruin hath taught me thus to ruminate:
894,That Time will come and take my love away.
895,This thought is as a death which cannot choose
896,"But weep to have, that which it fears to lose."
897,"Since brass, nor stone, nor earth, nor boundless sea,"
898,"But sad mortality o’ersways their power,"
899,"How with this rage shall beauty hold a plea,"
900,Whose action is no stronger than a flower?
901,"O! how shall summer’s honey breath hold out,"
902,"Against the wrackful siege of battering days,"
903,"When rocks impregnable are not so stout,"
904,Nor gates of steel so strong but Time decays?
905,"O fearful meditation! where, alack,"
906,Shall Time’s best jewel from Time’s chest lie hid?
907,Or what strong hand can hold his swift foot back?
908,Or who his spoil of beauty can forbid?
909,"O! none, unless this miracle have might,"
910,That in black ink my love may still shine bright.
911,"Tired with all these, for restful death I cry:"
912,"As to behold desert a beggar born,"
913,"And needy nothing trimm’d in jollity,"
914,"And purest faith unhappily forsworn,"
915,"And gilded honour shamefully misplac’d,"
916,"And maiden virtue rudely strumpeted,"
917,"And right perfection wrongfully disgrac’d,"
918,And strength by limping sway disabled
919,"And art made tongue-tied by authority,"
920,"And folly, doctor-like, controlling skill,"
921,"And simple truth miscall’d simplicity,"
922,And captive good attending captain ill:
923,"Tir’d with all these, from these would I be gone,"
924,"Save that, to die, I leave my love alone."
925,"Ah! wherefore with infection should he live,"
926,"And with his presence grace impiety,"
927,"That sin by him advantage should achieve,"
928,And lace itself with his society?
929,"Why should false painting imitate his cheek,"
930,And steel dead seeming of his living hue?
931,Why should poor beauty indirectly seek
932,"Roses of shadow, since his rose is true?"
933,"Why should he live, now Nature bankrupt is,"
934,Beggar’d of blood to blush through lively veins?
935,"For she hath no exchequer now but his,"
936,"And proud of many, lives upon his gains."
937,"O! him she stores, to show what wealth she had"
938,"In days long since, before these last so bad."
939,"Thus is his cheek the map of days outworn,"
940,"When beauty lived and died as flowers do now,"
941,"Before these bastard signs of fair were born,"
942,Or durst inhabit on a living brow;
943,"Before the golden tresses of the dead,"
944,"The right of sepulchres, were shorn away,"
945,To live a second life on second head;
946,Ere beauty’s dead fleece made another gay:
947,"In him those holy antique hours are seen,"
948,"Without all ornament, itself and true,"
949,"Making no summer of another’s green,"
950,Robbing no old to dress his beauty new;
951,"And him as for a map doth Nature store,"
952,To show false Art what beauty was of yore.
953,Those parts of thee that the world’s eye doth view
954,Want nothing that the thought of hearts can mend;
955,"All tongues, the voice of souls, give thee that due,"
956,"Uttering bare truth, even so as foes commend."
957,Thy outward thus with outward praise is crown’d;
958,"But those same tongues, that give thee so thine own,"
959,In other accents do this praise confound
960,By seeing farther than the eye hath shown.
961,"They look into the beauty of thy mind,"
962,And that in guess they measure by thy deeds;
963,"Then churls their thoughts, although their eyes were kind,"
964,To thy fair flower add the rank smell of weeds:
965,"But why thy odour matcheth not thy show,"
966,"The soil is this, that thou dost common grow."
967,"That thou art blam’d shall not be thy defect,"
968,For slander’s mark was ever yet the fair;
969,"The ornament of beauty is suspect,"
970,A crow that flies in heaven’s sweetest air.
971,"So thou be good, slander doth but approve"
972,Thy worth the greater being woo’d of time;
973,"For canker vice the sweetest buds doth love,"
974,And thou present’st a pure unstained prime.
975,Thou hast passed by the ambush of young days
976,"Either not assail’d, or victor being charg’d;"
977,"Yet this thy praise cannot be so thy praise,"
978,"To tie up envy, evermore enlarg’d,"
979,"If some suspect of ill mask’d not thy show,"
980,Then thou alone kingdoms of hearts shouldst owe.
981,No longer mourn for me when I am dead
982,Than you shall hear the surly sullen bell
983,Give warning to the world that I am fled
984,From this vile world with vilest worms to dwell:
985,"Nay, if you read this line, remember not"
986,"The hand that writ it, for I love you so,"
987,"That I in your sweet thoughts would be forgot,"
988,If thinking on me then should make you woe.
989,"O if, I say, you look upon this verse,"
990,"When I perhaps compounded am with clay,"
991,Do not so much as my poor name rehearse;
992,But let your love even with my life decay;
993,"Lest the wise world should look into your moan,"
994,And mock you with me after I am gone.
995,O! lest the world should task you to recite
996,"What merit lived in me, that you should love"
997,"After my death, dear love, forget me quite,"
998,For you in me can nothing worthy prove;
999,"Unless you would devise some virtuous lie,"
1000,"To do more for me than mine own desert,"
1001,And hang more praise upon deceased I
1002,Than niggard truth would willingly impart:
1003,O! lest your true love may seem false in this
1004,"That you for love speak well of me untrue,"
1005,"My name be buried where my body is,"
1006,And live no more to shame nor me nor you.
1007,"For I am shamed by that which I bring forth,"
1008,"And so should you, to love things nothing worth."
1009,That time of year thou mayst in me behold
1010,"When yellow leaves, or none, or few, do hang"
1011,"Upon those boughs which shake against the cold,"
1012,"Bare ruin’d choirs, where late the sweet birds sang."
1013,In me thou see’st the twilight of such day
1014,As after sunset fadeth in the west;
1015,"Which by and by black night doth take away,"
1016,"Death’s second self, that seals up all in rest."
1017,"In me thou see’st the glowing of such fire,"
1018,"That on the ashes of his youth doth lie,"
1019,"As the death-bed, whereon it must expire,"
1020,Consum’d with that which it was nourish’d by.
1021,"This thou perceiv’st, which makes thy love more strong,"
1022,"To love that well, which thou must leave ere long."
1023,But be contented: when that fell arrest
1024,"Without all bail shall carry me away,"
1025,"My life hath in this line some interest,"
1026,Which for memorial still with thee shall stay.
1027,"When thou reviewest this, thou dost review"
1028,The very part was consecrate to thee:
1029,"The earth can have but earth, which is his due;"
1030,"My spirit is thine, the better part of me:"
1031,"So then thou hast but lost the dregs of life,"
1032,"The prey of worms, my body being dead;"
1033,"The coward conquest of a wretch’s knife,"
1034,Too base of thee to be remembered.
1035,"The worth of that is that which it contains,"
1036,"And that is this, and this with thee remains."
1037,"So are you to my thoughts as food to life,"
1038,Or as sweet-season’d showers are to the ground;
1039,And for the peace of you I hold such strife
1040,As ’twixt a miser and his wealth is found.
1041,"Now proud as an enjoyer, and anon"
1042,Doubting the filching age will steal his treasure;
1043,"Now counting best to be with you alone,"
1044,Then better’d that the world may see my pleasure:
1045,"Sometime all full with feasting on your sight,"
1046,And by and by clean starved for a look;
1047,"Possessing or pursuing no delight,"
1048,"Save what is had, or must from you be took."
1049,"Thus do I pine and surfeit day by day,"
1050,"Or gluttoning on all, or all away."
1051,"Why is my verse so barren of new pride,"
1052,So far from variation or quick change?
1053,Why with the time do I not glance aside
1054,"To new-found methods, and to compounds strange?"
1055,"Why write I still all one, ever the same,"
1056,"And keep invention in a noted weed,"
1057,"That every word doth almost tell my name,"
1058,"Showing their birth, and where they did proceed?"
1059,"O! know sweet love I always write of you,"
1060,And you and love are still my argument;
1061,"So all my best is dressing old words new,"
1062,Spending again what is already spent:
1063,"For as the sun is daily new and old,"
1064,So is my love still telling what is told.
1065,"Thy glass will show thee how thy beauties wear,"
1066,Thy dial how thy precious minutes waste;
1067,"These vacant leaves thy mind’s imprint will bear,"
1068,"And of this book, this learning mayst thou taste."
1069,The wrinkles which thy glass will truly show
1070,Of mouthed graves will give thee memory;
1071,Thou by thy dial’s shady stealth mayst know
1072,Time’s thievish progress to eternity.
1073,"Look! what thy memory cannot contain,"
1074,"Commit to these waste blanks, and thou shalt find"
1075,"Those children nursed, deliver’d from thy brain,"
1076,To take a new acquaintance of thy mind.
1077,"These offices, so oft as thou wilt look,"
1078,Shall profit thee and much enrich thy book.
1079,"So oft have I invoked thee for my Muse,"
1080,And found such fair assistance in my verse
1081,As every alien pen hath got my use
1082,And under thee their poesy disperse.
1083,"Thine eyes, that taught the dumb on high to sing"
1084,"And heavy ignorance aloft to fly,"
1085,Have added feathers to the learned’s wing
1086,And given grace a double majesty.
1087,"Yet be most proud of that which I compile,"
1088,"Whose influence is thine, and born of thee:"
1089,"In others’ works thou dost but mend the style,"
1090,And arts with thy sweet graces graced be;
1091,"But thou art all my art, and dost advance"
1092,"As high as learning, my rude ignorance."
1093,"Whilst I alone did call upon thy aid,"
1094,My verse alone had all thy gentle grace;
1095,"But now my gracious numbers are decay’d,"
1096,And my sick Muse doth give an other place.
1097,"I grant, sweet love, thy lovely argument"
1098,Deserves the travail of a worthier pen;
1099,Yet what of thee thy poet doth invent
1100,"He robs thee of, and pays it thee again."
1101,"He lends thee virtue, and he stole that word"
1102,"From thy behaviour; beauty doth he give,"
1103,And found it in thy cheek: he can afford
1104,"No praise to thee, but what in thee doth live."
1105,"Then thank him not for that which he doth say,"
1106,"Since what he owes thee, thou thyself dost pay."
1107,"O how I faint when I of you do write,"
1108,"Knowing a better spirit doth use your name,"
1109,"And in the praise thereof spends all his might,"
1110,To make me tongue-tied speaking of your fame!
1111,"But since your worth, wide as the ocean is,"
1112,"The humble as the proudest sail doth bear,"
1113,"My saucy bark, inferior far to his,"
1114,On your broad main doth wilfully appear.
1115,"Your shallowest help will hold me up afloat,"
1116,Whilst he upon your soundless deep doth ride;
1117,"Or, being wrack’d, I am a worthless boat,"
1118,"He of tall building, and of goodly pride:"
1119,"Then if he thrive and I be cast away,"
1120,The worst was this: my love was my decay.
1121,"Or I shall live your epitaph to make,"
1122,Or you survive when I in earth am rotten;
1123,"From hence your memory death cannot take,"
1124,Although in me each part will be forgotten.
1125,"Your name from hence immortal life shall have,"
1126,"Though I, once gone, to all the world must die:"
1127,"The earth can yield me but a common grave,"
1128,When you entombed in men’s eyes shall lie.
1129,"Your monument shall be my gentle verse,"
1130,Which eyes not yet created shall o’er-read;
1131,"And tongues to be, your being shall rehearse,"
1132,When all the breathers of this world are dead;
1133,"You still shall live, such virtue hath my pen,"
1134,"Where breath most breathes, even in the mouths of men."
1135,"I grant thou wert not married to my Muse,"
1136,And therefore mayst without attaint o’erlook
1137,The dedicated words which writers use
1138,"Of their fair subject, blessing every book."
1139,"Thou art as fair in knowledge as in hue,"
1140,Finding thy worth a limit past my praise;
1141,And therefore art enforced to seek anew
1142,Some fresher stamp of the time-bettering days.
1143,"And do so, love; yet when they have devis’d,"
1144,"What strained touches rhetoric can lend,"
1145,"Thou truly fair, wert truly sympathiz’d"
1146,"In true plain words, by thy true-telling friend;"
1147,And their gross painting might be better us’d
1148,Where cheeks need blood; in thee it is abus’d.
1149,"I never saw that you did painting need,"
1150,And therefore to your fair no painting set;
1151,"I found, or thought I found, you did exceed"
1152,That barren tender of a poet’s debt:
1153,"And therefore have I slept in your report,"
1154,"That you yourself, being extant, well might show"
1155,"How far a modern quill doth come too short,"
1156,"Speaking of worth, what worth in you doth grow."
1157,"This silence for my sin you did impute,"
1158,Which shall be most my glory being dumb;
1159,"For I impair not beauty being mute,"
1160,"When others would give life, and bring a tomb."
1161,There lives more life in one of your fair eyes
1162,Than both your poets can in praise devise.
1163,"Who is it that says most, which can say more,"
1164,"Than this rich praise: that you alone are you,"
1165,In whose confine immured is the store
1166,Which should example where your equal grew.
1167,Lean penury within that pen doth dwell
1168,That to his subject lends not some small glory;
1169,"But he that writes of you, if he can tell"
1170,"That you are you, so dignifies his story,"
1171,"Let him but copy what in you is writ,"
1172,"Not making worse what nature made so clear,"
1173,"And such a counterpart shall fame his wit,"
1174,Making his style admired every where.
1175,"You to your beauteous blessings add a curse,"
1176,"Being fond on praise, which makes your praises worse."
1177,"My tongue-tied Muse in manners holds her still,"
1178,"While comments of your praise richly compil’d,"
1179,"Reserve their character with golden quill,"
1180,And precious phrase by all the Muses fil’d.
1181,"I think good thoughts, whilst others write good words,"
1182,And like unlettered clerk still cry ‘Amen’
1183,"To every hymn that able spirit affords,"
1184,In polish’d form of well-refined pen.
1185,"Hearing you praised, I say ‘’tis so, ’tis true,’"
1186,And to the most of praise add something more;
1187,"But that is in my thought, whose love to you,"
1188,"Though words come hindmost, holds his rank before."
1189,"Then others, for the breath of words respect,"
1190,"Me for my dumb thoughts, speaking in effect."
1191,"Was it the proud full sail of his great verse,"
1192,"Bound for the prize of all too precious you,"
1193,"That did my ripe thoughts in my brain inhearse,"
1194,Making their tomb the womb wherein they grew?
1195,"Was it his spirit, by spirits taught to write,"
1196,"Above a mortal pitch, that struck me dead?"
1197,"No, neither he, nor his compeers by night"
1198,"Giving him aid, my verse astonished."
1199,"He, nor that affable familiar ghost"
1200,"Which nightly gulls him with intelligence,"
1201,As victors of my silence cannot boast;
1202,I was not sick of any fear from thence:
1203,"But when your countenance fill’d up his line,"
1204,Then lacked I matter; that enfeebled mine.
1205,"Farewell! thou art too dear for my possessing,"
1206,"And like enough thou know’st thy estimate,"
1207,The charter of thy worth gives thee releasing;
1208,My bonds in thee are all determinate.
1209,For how do I hold thee but by thy granting?
1210,And for that riches where is my deserving?
1211,"The cause of this fair gift in me is wanting,"
1212,And so my patent back again is swerving.
1213,"Thyself thou gav’st, thy own worth then not knowing,"
1214,"Or me to whom thou gav’st it, else mistaking;"
1215,"So thy great gift, upon misprision growing,"
1216,"Comes home again, on better judgement making."
1217,"Thus have I had thee, as a dream doth flatter,"
1218,"In sleep a king, but waking no such matter."
1219,"When thou shalt be dispos’d to set me light,"
1220,"And place my merit in the eye of scorn,"
1221,"Upon thy side, against myself I’ll fight,"
1222,"And prove thee virtuous, though thou art forsworn."
1223,"With mine own weakness, being best acquainted,"
1224,Upon thy part I can set down a story
1225,"Of faults conceal’d, wherein I am attainted;"
1226,That thou in losing me shalt win much glory:
1227,And I by this will be a gainer too;
1228,"For bending all my loving thoughts on thee,"
1229,"The injuries that to myself I do,"
1230,"Doing thee vantage, double-vantage me."
1231,"Such is my love, to thee I so belong,"
1232,"That for thy right, myself will bear all wrong."
1233,"Say that thou didst forsake me for some fault,"
1234,And I will comment upon that offence:
1235,"Speak of my lameness, and I straight will halt,"
1236,Against thy reasons making no defence.
1237,"Thou canst not love disgrace me half so ill,"
1238,"To set a form upon desired change,"
1239,"As I’ll myself disgrace; knowing thy will,"
1240,"I will acquaintance strangle, and look strange;"
1241,Be absent from thy walks; and in my tongue
1242,"Thy sweet beloved name no more shall dwell,"
1243,"Lest I, too much profane, should do it wrong,"
1244,And haply of our old acquaintance tell.
1245,"For thee, against my self I’ll vow debate,"
1246,For I must ne’er love him whom thou dost hate.
1247,"Then hate me when thou wilt; if ever, now;"
1248,"Now, while the world is bent my deeds to cross,"
1249,"Join with the spite of fortune, make me bow,"
1250,And do not drop in for an after-loss:
1251,"Ah! do not, when my heart hath ’scap’d this sorrow,"
1252,Come in the rearward of a conquer’d woe;
1253,"Give not a windy night a rainy morrow,"
1254,To linger out a purpos’d overthrow.
1255,"If thou wilt leave me, do not leave me last,"
1256,"When other petty griefs have done their spite,"
1257,But in the onset come: so shall I taste
1258,At first the very worst of fortune’s might;
1259,"And other strains of woe, which now seem woe,"
1260,"Compar’d with loss of thee, will not seem so."
1261,"Some glory in their birth, some in their skill,"
1262,"Some in their wealth, some in their body’s force,"
1263,Some in their garments though new-fangled ill;
1264,"Some in their hawks and hounds, some in their horse;"
1265,"And every humour hath his adjunct pleasure,"
1266,Wherein it finds a joy above the rest:
1267,"But these particulars are not my measure,"
1268,All these I better in one general best.
1269,"Thy love is better than high birth to me,"
1270,"Richer than wealth, prouder than garments’ costs,"
1271,Of more delight than hawks and horses be;
1272,"And having thee, of all men’s pride I boast:"
1273,"Wretched in this alone, that thou mayst take"
1274,"All this away, and me most wretched make."
1275,"But do thy worst to steal thyself away,"
1276,For term of life thou art assured mine;
1277,"And life no longer than thy love will stay,"
1278,For it depends upon that love of thine.
1279,"Then need I not to fear the worst of wrongs,"
1280,When in the least of them my life hath end.
1281,I see a better state to me belongs
1282,Than that which on thy humour doth depend:
1283,"Thou canst not vex me with inconstant mind,"
1284,Since that my life on thy revolt doth lie.
1285,"O! what a happy title do I find,"
1286,"Happy to have thy love, happy to die!"
1287,But what’s so blessed-fair that fears no blot?
1288,"Thou mayst be false, and yet I know it not."
1289,"So shall I live, supposing thou art true,"
1290,Like a deceived husband; so love’s face
1291,"May still seem love to me, though alter’d new;"
1292,"Thy looks with me, thy heart in other place:"
1293,"For there can live no hatred in thine eye,"
1294,Therefore in that I cannot know thy change.
1295,"In many’s looks, the false heart’s history"
1296,"Is writ in moods, and frowns, and wrinkles strange."
1297,But heaven in thy creation did decree
1298,That in thy face sweet love should ever dwell;
1299,"Whate’er thy thoughts, or thy heart’s workings be,"
1300,"Thy looks should nothing thence, but sweetness tell."
1301,"How like Eve’s apple doth thy beauty grow,"
1302,If thy sweet virtue answer not thy show!
1303,"They that have power to hurt, and will do none,"
1304,"That do not do the thing they most do show,"
1305,"Who, moving others, are themselves as stone,"
1306,"Unmoved, cold, and to temptation slow;"
1307,"They rightly do inherit heaven’s graces,"
1308,And husband nature’s riches from expense;
1309,"They are the lords and owners of their faces,"
1310,"Others, but stewards of their excellence."
1311,"The summer’s flower is to the summer sweet,"
1312,"Though to itself, it only live and die,"
1313,"But if that flower with base infection meet,"
1314,The basest weed outbraves his dignity:
1315,For sweetest things turn sourest by their deeds;
1316,"Lilies that fester, smell far worse than weeds."
1317,How sweet and lovely dost thou make the shame
1318,"Which, like a canker in the fragrant rose,"
1319,Doth spot the beauty of thy budding name!
1320,O! in what sweets dost thou thy sins enclose.
1321,"That tongue that tells the story of thy days,"
1322,"Making lascivious comments on thy sport,"
1323,"Cannot dispraise, but in a kind of praise;"
1324,"Naming thy name, blesses an ill report."
1325,O! what a mansion have those vices got
1326,"Which for their habitation chose out thee,"
1327,Where beauty’s veil doth cover every blot
1328,And all things turns to fair that eyes can see!
1329,"Take heed, dear heart, of this large privilege;"
1330,The hardest knife ill-us’d doth lose his edge.
1331,"Some say thy fault is youth, some wantonness;"
1332,Some say thy grace is youth and gentle sport;
1333,Both grace and faults are lov’d of more and less:
1334,Thou mak’st faults graces that to thee resort.
1335,As on the finger of a throned queen
1336,"The basest jewel will be well esteem’d,"
1337,So are those errors that in thee are seen
1338,"To truths translated, and for true things deem’d."
1339,"How many lambs might the stern wolf betray,"
1340,If like a lamb he could his looks translate!
1341,"How many gazers mightst thou lead away,"
1342,If thou wouldst use the strength of all thy state!
1343,"But do not so; I love thee in such sort,"
1344,"As, thou being mine, mine is thy good report."
1345,How like a winter hath my absence been
1346,"From thee, the pleasure of the fleeting year!"
1347,"What freezings have I felt, what dark days seen!"
1348,What old December’s bareness everywhere!
1349,And yet this time removed was summer’s time;
1350,"The teeming autumn, big with rich increase,"
1351,"Bearing the wanton burden of the prime,"
1352,Like widow’d wombs after their lords’ decease:
1353,Yet this abundant issue seem’d to me
1354,"But hope of orphans, and unfather’d fruit;"
1355,"For summer and his pleasures wait on thee,"
1356,"And, thou away, the very birds are mute:"
1357,"Or, if they sing, ’tis with so dull a cheer,"
1358,"That leaves look pale, dreading the winter’s near."
1359,"From you have I been absent in the spring,"
1360,"When proud-pied April, dress’d in all his trim,"
1361,"Hath put a spirit of youth in every thing,"
1362,That heavy Saturn laugh’d and leap’d with him.
1363,"Yet nor the lays of birds, nor the sweet smell"
1364,"Of different flowers in odour and in hue,"
1365,"Could make me any summer’s story tell,"
1366,Or from their proud lap pluck them where they grew:
1367,"Nor did I wonder at the lily’s white,"
1368,Nor praise the deep vermilion in the rose;
1369,"They were but sweet, but figures of delight,"
1370,"Drawn after you, you pattern of all those."
1371,"Yet seem’d it winter still, and you away,"
1372,As with your shadow I with these did play.
1373,The forward violet thus did I chide:
1374,"Sweet thief, whence didst thou steal thy sweet that smells,"
1375,If not from my love’s breath? The purple pride
1376,Which on thy soft cheek for complexion dwells
1377,In my love’s veins thou hast too grossly dy’d.
1378,"The lily I condemned for thy hand,"
1379,And buds of marjoram had stol’n thy hair;
1380,"The roses fearfully on thorns did stand,"
1381,"One blushing shame, another white despair;"
1382,"A third, nor red nor white, had stol’n of both,"
1383,And to his robbery had annex’d thy breath;
1384,"But, for his theft, in pride of all his growth"
1385,A vengeful canker eat him up to death.
1386,"More flowers I noted, yet I none could see,"
1387,"But sweet, or colour it had stol’n from thee."
1388,"Where art thou Muse that thou forget’st so long,"
1389,To speak of that which gives thee all thy might?
1390,"Spend’st thou thy fury on some worthless song,"
1391,Darkening thy power to lend base subjects light?
1392,"Return forgetful Muse, and straight redeem,"
1393,In gentle numbers time so idly spent;
1394,Sing to the ear that doth thy lays esteem
1395,And gives thy pen both skill and argument.
1396,"Rise, resty Muse, my love’s sweet face survey,"
1397,If Time have any wrinkle graven there;
1398,"If any, be a satire to decay,"
1399,And make time’s spoils despised every where.
1400,"Give my love fame faster than Time wastes life,"
1401,So thou prevent’st his scythe and crooked knife.
1402,O truant Muse what shall be thy amends
1403,For thy neglect of truth in beauty dy’d?
1404,Both truth and beauty on my love depends;
1405,"So dost thou too, and therein dignified."
1406,"Make answer Muse: wilt thou not haply say,"
1407,"‘Truth needs no colour, with his colour fix’d;"
1408,"Beauty no pencil, beauty’s truth to lay;"
1409,"But best is best, if never intermix’d’?"
1410,"Because he needs no praise, wilt thou be dumb?"
1411,"Excuse not silence so, for’t lies in thee"
1412,To make him much outlive a gilded tomb
1413,And to be prais’d of ages yet to be.
1414,"Then do thy office, Muse; I teach thee how"
1415,To make him seem long hence as he shows now.
1416,"My love is strengthen’d, though more weak in seeming;"
1417,"I love not less, though less the show appear;"
1418,"That love is merchandiz’d, whose rich esteeming,"
1419,The owner’s tongue doth publish every where.
1420,"Our love was new, and then but in the spring,"
1421,When I was wont to greet it with my lays;
1422,"As Philomel in summer’s front doth sing,"
1423,And stops her pipe in growth of riper days:
1424,Not that the summer is less pleasant now
